task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point,line_label,run_path,epoch,metric_value
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,9,2.534051213544958
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,14,2.6501650417552276
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,19,2.499983944612391
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,24,2.2177790543612312
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,29,2.6996736105750587
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,34,2.438519463819616
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,39,2.398026199901805
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535,44,2.5199098615085376
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000,4,2.8930380821228026
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000,9,2.5146391784443574
