task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point_raw,summary_best_point,curve_n_points,curve_first_epoch,curve_first_value,curve_mid_epoch,curve_mid_value,curve_last_epoch,curve_last_value,curve_best_epoch,curve_best_value,global_error_rank,line_label,run_path
task33,graphconv,case118_500,44,2,PBL Mean,16.746922930081684,84,84,17,4,19.923761427402496,44,18.816050897041958,84,16.746922930081684,84,16.746922930081684,61,task33|graphconv|case118_500|seed=44|bp=84|err=16.746923,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task33/graphconv/seed=44_layers=15_lr=1e-4_32_260213_152803
task34,graphconv,case14_30_118,42,0,PBL Mean,7.998978205795946,34,34,11,4,8.372448875986297,29,7.064735883268817,54,7.642316978553246,44,5.819102295513811,56,task34|graphconv|case14_30_118|seed=42|bp=34|err=7.998978,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case14_30_118/seed=42_case=case14_30_118_layers=15_lr=5e-3_46_260213_001456
task34,graphconv,case14_30_118,43,1,PBL Mean,7.812445482303357,24,24,9,4,6.916434339408217,24,7.812445482303357,44,8.019092058313303,9,6.200557447712997,55,task34|graphconv|case14_30_118|seed=43|bp=24|err=7.812445,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case14_30_118/seed=43_case=case14_30_118_layers=15_lr=5e-3_94_260215_051139
task34,graphconv,case14_30_118,44,2,PBL Mean,7.12407968167601,4,4,5,4,7.12407968167601,14,7.16934583927023,24,6.358511012175987,19,6.22159200495687,46,task34|graphconv|case14_30_118|seed=44|bp=4|err=7.124080,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case14_30_118/seed=44_case=case14_30_118_layers=15_lr=5e-3_142_260217_033020
task34,graphconv,case30_57_118,42,0,PBL Mean,7.748164454410816,44,44,9,4,7.782204644433383,24,8.1091278627001,44,7.748164454410816,39,7.468814282581724,52,task34|graphconv|case30_57_118|seed=42|bp=44|err=7.748164,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_118/seed=42_case=case30_57_118_layers=5_lr=1e-4_0_260211_042638
task34,graphconv,case30_57_118,43,1,PBL Mean,7.790719498848093,24,24,9,4,6.592273724490199,24,7.790719498848093,44,8.372393875286496,4,6.592273724490199,54,task34|graphconv|case30_57_118|seed=43|bp=24|err=7.790719,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_118/seed=43_case=case30_57_118_layers=15_lr=5e-3_92_260215_034405
task34,graphconv,case30_57_118,44,2,PBL Mean,7.677780909784909,74,74,16,4,8.283576909838052,44,10.703722879804413,79,7.597065376824346,79,7.597065376824346,50,task34|graphconv|case30_57_118|seed=44|bp=74|err=7.677781,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_118/seed=44_case=case30_57_118_layers=5_lr=1e-4_96_260215_062838
task34,graphconv,case30_57_500,42,0,PBL Mean,8.062623770072543,39,39,9,4,9.082660929910068,24,8.307177718343405,44,8.855573345874918,9,7.57213457905013,57,task34|graphconv|case30_57_500|seed=42|bp=39|err=8.062624,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_500/seed=42_case=case30_57_500_layers=5_lr=5e-4_7_260211_110755
task34,graphconv,case30_57_500,43,1,PBL Mean,7.777900619753476,24,24,9,4,7.432926695922325,24,7.777900619753476,44,8.545255835714011,9,6.789449079283353,53,task34|graphconv|case30_57_500|seed=43|bp=24|err=7.777901,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_500/seed=43_case=case30_57_500_layers=15_lr=5e-3_95_260215_055044
task34,graphconv,case30_57_500,44,2,PBL Mean,7.251018501561264,84,84,20,4,7.870430202319704,54,7.8956814428855635,99,1.81843427799899,89,1.1696447036389648,48,task34|graphconv|case30_57_500|seed=44|bp=84|err=7.251019,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case30_57_500/seed=44_case=case30_57_500_layers=15_lr=5e-3_143_260217_035310
